function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;cats;
5731;libLLVM-13.so;llvm::Value::deleteValue();;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
5690;libLLVM-13.so;llvm::CallbackVH::anchor();;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
5585;libLLVM-13.so;llvm::Type::isIntegerTy(unsigned int) const;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
5454;libLLVM-13.so;llvm::AnalysisUsage::setPreservesCFG();;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
5092;libLLVM-13.so;llvm::PMDataManager::emitInstrCountChangedRemark(llvm::Pass*, llvm::Module&, long, unsigned int, llvm::StringMap<std::pair<unsigned int, unsigned int>, llvm::MallocAllocator>&, llvm::Function*);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
5072;libLLVM-13.so;llvm::PMTopLevelManager::collectLastUses(llvm::SmallVectorImpl<llvm::Pass*>&, llvm::Pass*);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
5002;libmpi.so.12.2.2;hashlittle;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
4590;libLLVM-13.so;llvm::Instruction::mayHaveSideEffects() const;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
4378;libLLVM-13.so;llvm::Intrinsic::remangleIntrinsicFunction(llvm::Function*);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
3345;libstdc++.so.6.0.29;std::ostream::write(char const*, long);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2697;libLLVM-13.so;llvm::ConstantAggregate::ConstantAggregate(llvm::Type*, llvm::Value::ValueTy, llvm::ArrayRef<llvm::Constant*>);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2625;libLLVM-13.so;llvm::ConstantRange::contains(llvm::ConstantRange const&) const;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2524;libLLVM-13.so;llvm::BasicBlock::getContext() const;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2464;libLLVM-13.so;llvm::AttributeFuncs::areInlineCompatible(llvm::Function const&, llvm::Function const&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2441;libLLVM-13.so;llvm::AttrBuilder::overlaps(llvm::AttrBuilder const&) const;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2397;libLLVM-13.so;llvm::AttributeList::hasFnAttribute(llvm::StringRef) const;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
2242;libLLVM-13.so;llvm::AssemblyAnnotationWriter::~AssemblyAnnotationWriter();;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
1958;libmpi.so.12.2.2;MPIDIU_comm_rank_to_av;;0;0;0;0;0;0;1;"0,100,0,0,0,0,0,0,0,0";
1567;libfabric.so.1.17.0;sock_pe_progress_buffered_rx.isra.0;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
1409;libfabric.so.1.17.0;sock_cq_read;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
1234;libLLVM-13.so;llvm::PrettyStackTraceEntry::~PrettyStackTraceEntry();;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
979;libstdc++.so.6.0.29;std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
548;libstdc++.so.6.0.29;operator delete(void*, unsigned long);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
275;libigc.so.1.0.1;std::pair<std::_Rb_tree_iterator<llvm::Function const*>, bool> std::_Rb_tree<llvm::Function const*, llvm::Function const*, std::_Identity<llvm::Function const*>, std::less<llvm::Function const*>, std::allocator<llvm::Function const*> >::_M_insert_unique<llvm::Function const* const&>(llvm::Function const* const&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
272;libigc.so.1.0.1;void std::vector<std::pair<IGC::ImplicitArg::ArgType, unsigned int>, std::allocator<std::pair<IGC::ImplicitArg::ArgType, unsigned int> > >::_M_realloc_insert<std::pair<IGC::ImplicitArg::ArgType, unsigned int> >(__gnu_cxx::__normal_iterator<std::pair<IGC::ImplicitArg::ArgType, unsigned int>*, std::vector<std::pair<IGC::ImplicitArg::ArgType, unsigned int>, std::allocator<std::pair<IGC::ImplicitArg::ArgType, unsigned int> > > >, std::pair<IGC::ImplicitArg::ArgType, unsigned int>&&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
269;libigc.so.1.0.1;std::_Rb_tree<int, std::pair<int const, int>, std::_Select1st<std::pair<int const, int> >, std::less<int>, std::allocator<std::pair<int const, int> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<int const, int> >, int const&);;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
253;libigc.so.1.0.1;InitJslSwWaTable;;0;0;0;0;0;0;1;"0,0,0,0,0,0,0,0,0,100";
237;libgomp.so.1.0.0;gomp_fini_work_share;;0;0;0;0;0;0;1;"0,0,100,0,0,0,0,0,0,0";
